simout1,simout2,simout3,simout4,simout5,simout6,simout7,simout8
0.0,-0.8000756143915386,-0.0008000756143915386,0.0,0.0,1.8211506306080258e-05,0.0,0.8000756143915386
0.001,0.40694721584462945,-0.0003931283985469092,-3.9312839840335326e-07,-1.0624115714337236e-11,2.7024544029125166e-05,0.40694721584462945,0.0
0.002,0.31632141011598347,-7.68069884309257e-05,-4.6993538683004907e-07,-1.1430199408792612e-11,1.0494926450541706e-05,0.31632141011598347,0.0
0.003,0.3501035628146427,0.00027329657438371704,-1.966388124511889e-07,-9.800856357994787e-12,5.961812929714323e-06,0.3501035628146427,0.0
0.004,-0.2027912677495809,7.050530663413612e-05,-1.2613350581785106e-07,-9.465350357006133e-12,4.758592182726299e-06,0.0,0.2027912677495809
0.005,-0.7145118721175496,-0.0006440065654834135,-7.701400712808539e-07,-4.338072809436572e-12,-7.961529932191012e-06,0.0,0.7145118721175496
0.006,0.49382076997618607,-0.00015018579550722745,-9.203258667359395e-07,-3.8055600109441555e-13,-2.6350806315832316e-05,0.49382076997618607,0.0
0.007,-0.23151584782447476,-0.0003817016433317022,-1.302027509941771e-06,9.422002009555744e-12,-2.5681204634503373e-05,0.0,0.23151584782447476
0.008,-0.20953673169806675,-0.000591238375029769,-1.8932658844821986e-06,3.3476833032338217e-11,-4.068550358932245e-05,0.0,0.20953673169806675
0.009000000000000001,-0.906650782865321,-0.0014978891578950899,-3.391155041827582e-06,7.405758752783479e-11,-2.7091960901490818e-05,0.0,0.906650782865321
0.01,0.10217920329364327,-0.0013957099546014467,-4.7868649960399625e-06,1.0701282784307273e-10,-2.3611811472470794e-05,0.10217920329364327,0.0
0.011,0.8737832923507054,-0.0005219266622507413,-5.308791658037518e-06,1.2326978317724256e-10,-3.114796869485945e-05,0.8737832923507054,0.0
0.012,-0.6927126772837622,-0.0012146393395345034,-6.523430997217541e-06,1.526148513903465e-10,-2.415949101994736e-05,0.0,0.6927126772837622
0.013000000000000001,-0.028938414750757202,-0.0012435777542852606,-7.76700875076225e-06,1.9553184085268024e-10,-3.451090156845005e-05,0.0,0.028938414750757202
0.014,0.9563896233378293,-0.00028718813094743135,-8.054196881532598e-06,2.0561707333109253e-10,-3.5117163258850824e-05,0.9563896233378293,0.0
0.015,-0.2133856459759731,-0.0005005737769234044,-8.554770658393547e-06,2.1352441952071565e-10,-1.5796564971005095e-05,0.0,0.2133856459759731
0.016,0.5336769431642241,3.310316624081966e-05,-8.521667492152854e-06,2.1361609459998761e-10,2.7693749475554524e-06,0.5336769431642241,0.0
0.017,-0.9050645818431151,-0.0008719614156022955,-9.393628907683546e-06,2.0244157006712223e-10,1.2815388769757205e-05,0.0,0.9050645818431151
0.018000000000000002,0.794648373371432,-7.731304223086344e-05,-9.470941949882132e-06,2.0020750985813927e-10,2.889629155482946e-05,0.794648373371432,0.0
0.019,0.5043342950322254,0.00042702125280136196,-9.043920697160602e-06,2.0846461569463232e-10,1.9336521971304696e-05,0.5043342950322254,0.0
0.02,-0.8911576870732039,-0.00046413643427184193,-9.508057131319504e-06,1.982255000021228e-10,2.2060573006735904e-05,0.0,0.8911576870732039
0.021,0.46841910897910677,4.282674707264844e-06,-9.503774456612374e-06,1.9825945668051561e-10,7.92884837495964e-06,0.46841910897910677,0.0
0.022,-0.022393078151601298,-1.8110403444336456e-05,-9.521884860056037e-06,1.981031873230753e-10,8.628706584177967e-06,0.0,0.022393078151601298
0.023,0.24792781430843713,0.0002298174108641007,-9.292067449200596e-06,1.9610807425842006e-10,-8.68129641343877e-06,0.24792781430843713,0.0
0.024,0.7201140568858091,0.0009499314677499098,-8.342135981573779e-06,1.8081566666514888e-10,-1.609843247971838e-05,0.7201140568858091,0.0
0.025,-0.2303987162582568,0.000719532751491653,-7.622603230550573e-06,1.5485171564812248e-10,-3.608446032350224e-05,0.0,0.2303987162582568
0.026000000000000002,-0.32562680961910684,0.00039390594187254616,-7.228697288801129e-06,1.45003805915145e-10,-2.500066306994116e-05,0.0,0.32562680961910684
0.027,-0.7379486688963837,-0.00034404272702383753,-7.572740015819555e-06,1.4693359357016844e-10,-5.609151141566901e-06,0.0,0.7379486688963837
0.028,-0.38014164096698555,-0.0007241843679908231,-8.296924383795694e-06,1.515452650640168e-10,-6.368090361677027e-06,0.0,0.38014164096698555
0.029,0.08281198996219752,-0.0006413723780286256,-8.938296761702526e-06,1.6404453961516215e-10,-1.9488326875496767e-05,0.08281198996219752,0.0
0.03,0.07154197364877812,-0.0005698304043798474,-9.508127165669789e-06,1.8572877623531143e-10,-3.805384279026308e-05,0.07154197364877812,0.0
0.031,-0.015363496798496579,-0.000585193901178344,-1.0093321066660322e-05,2.005548213265442e-10,-2.533526932349292e-05,0.0,0.015363496798496579
0.032,0.7666927967838262,0.00018149889560548215,-9.91182217112524e-06,1.9549957794924422e-10,-2.7852750073708474e-05,0.7666927967838262,0.0
0.033,-0.22509075314151783,-4.3591857536035674e-05,-9.955414028639532e-06,1.968764347856911e-10,-3.158518389673162e-05,0.0,0.22509075314151783
0.034,-0.6392292808044722,-0.0006828211383405079,-1.0638235166868764e-05,2.092037615980167e-10,-1.805352254172284e-05,0.0,0.6392292808044722
0.035,-0.3061642346138451,-0.000988985372954353,-1.162722053977763e-05,2.1868900280609364e-10,-9.590881187542264e-06,0.0,0.3061642346138451
0.036000000000000004,0.22692845595162336,-0.0007620569170027296,-1.2389277456777847e-05,2.206458551859269e-10,-2.5678559385458798e-06,0.22692845595162336,0.0
0.037,-0.16705963706902005,-0.0009291165540717496,-1.3318394010822607e-05,2.1356403874271813e-10,7.62209693955196e-06,0.0,0.16705963706902005
0.038,-0.8611234029332713,-0.001790239957005021,-1.510863396762311e-05,1.8650345109502435e-10,1.5115620418837727e-05,0.0,0.8611234029332713
0.039,0.29535006593118585,-0.001494889891073835,-1.660352385816254e-05,1.4653154102881958e-10,2.6739032961320382e-05,0.29535006593118585,0.0
0.04,-0.3213802554584413,-0.0018162701465322764,-1.8419794004514946e-05,1.2097004120049645e-10,1.4073622185537972e-05,0.0,0.3213802554584413
0.041,0.34953651037759514,-0.0014667336361546812,-1.9886527640669454e-05,1.202534205686985e-10,4.88582667045618e-07,0.34953651037759514,0.0
0.042,0.5516720581596339,-0.0009150615779950473,-2.0801589218632537e-05,1.2790170159943027e-10,-8.358214588769705e-06,0.5516720581596339,0.0
0.043000000000000003,0.7014954049902318,-0.00021356617300481552,-2.1015155391631465e-05,1.2631607872964142e-10,7.424503831735901e-06,0.7014954049902318,0.0
0.044,0.14177319477098727,-7.179297823382824e-05,-2.1086948369865147e-05,1.2617100242425606e-10,2.020758978864677e-06,0.14177319477098727,0.0
0.045,0.9489717258010333,0.000877178747567205,-2.0209769622433684e-05,1.4160280889852142e-10,1.7592544869401395e-05,0.9489717258010333,0.0
0.046,0.12787947941624545,0.0010050582269834506,-1.9204711395955183e-05,1.7346201428715743e-10,3.1698865337974135e-05,0.12787947941624545,0.0
0.047,-0.5631263135914173,0.0004419319133920332,-1.876277948269742e-05,1.8435593512688525e-10,2.465067697242139e-05,0.0,0.5631263135914173
0.048,-0.8480080985591267,-0.0004060761851670935,-1.9168855667855425e-05,1.816390278542699e-10,6.6906343486202556e-06,0.0,0.8480080985591267
0.049,-0.4617319793427055,-0.0008678081645097991,-2.0036663832113193e-05,1.6072419333170956e-10,2.410075795541663e-05,0.0,0.4617319793427055
0.05,-0.5259273931496875,-0.0013937355576594866,-2.143039938847942e-05,1.0068321717070286e-10,4.3079173699496415e-05,0.0,0.5259273931496875
0.051000000000000004,-0.9077735658679298,-0.0023015091235274164,-2.373190851049331e-05,1.7215869924687752e-11,3.6266355154128296e-05,0.0,0.9077735658679298
0.052000000000000005,0.44075463608454646,-0.0018607544874428698,-2.559266299754083e-05,-2.1141637497005738e-11,2.061395400804468e-05,0.44075463608454646,0.0
0.053,0.6179457163444266,-0.001242808771098443,-2.683547176863565e-05,-2.4142183180869196e-11,2.41432612453674e-06,0.6179457163444266,0.0
0.054,-0.7890003835030746,-0.0020318091546015172,-2.886728092315692e-05,-4.2200581150871035e-11,8.88784162102136e-06,0.0,0.7890003835030746
0.055,0.5192406305687218,-0.0015125685240327956,-3.037984944699993e-05,-6.616139529724073e-11,1.584114290801697e-05,0.5192406305687218,0.0
0.056,-0.24626219021400964,-0.0017588307142468052,-3.213868016123813e-05,-7.166329338861728e-11,3.12815670480353e-06,0.0,0.24626219021400964
0.057,0.1264119417562155,-0.0016324187724905896,-3.377109893365869e-05,-5.654236198466327e-11,-9.262899728297144e-06,0.1264119417562155,0.0
0.058,0.5466698111355781,-0.0010857489613550115,-3.4856847894586126e-05,-2.6071316500532886e-11,-2.8064540305986137e-05,0.5466698111355781,0.0
0.059000000000000004,0.35247102164832045,-0.0007332779397066911,-3.5590125834080226e-05,-8.414132369297486e-12,-2.407979727305665e-05,0.35247102164832045,0.0
0.06,-0.0942119216448869,-0.000827489861351578,-3.6417615695193173e-05,1.1458740642388465e-11,-2.401585075753916e-05,0.0,0.0942119216448869
0.061,0.7818382431206887,-4.565161823088926e-05,-3.646326731342354e-05,1.1677897486554321e-11,-4.800636925032607e-06,0.7818382431206887,0.0
0.062,0.41925010553478237,0.00037359848730389314,-3.6089668826152325e-05,6.736620794919688e-12,-1.3226168894413524e-05,0.41925010553478237,0.0
0.063,-0.07042764100721555,0.00030317084629667755,-3.5786497979863345e-05,4.5760838824664285e-12,-7.12646660740355e-06,0.0,0.07042764100721555
0.064,0.693581756958076,0.0009967526032547535,-3.4789745376696456e-05,-8.658487738738485e-12,-1.3277689547414451e-05,0.693581756958076,0.0
0.065,-0.056049829170463195,0.0009407027740842903,-3.3849042602844904e-05,-2.958390437537166e-11,-2.224445086677706e-05,0.0,0.056049829170463195
0.066,-0.22596234076156185,0.0007147404333227286,-3.3134302169916196e-05,-5.3316716005470023e-11,-3.320479789303225e-05,0.0,0.22596234076156185
0.067,-0.5622550973722598,0.00015248533595046875,-3.29818168341638e-05,-6.108891587419252e-11,-5.097014623499545e-05,0.0,0.5622550973722598
0.068,-0.03981868407710376,0.000112666651873365,-3.2869150182379106e-05,-6.555891224983789e-11,-3.9674529263923026e-05,0.0,0.03981868407710376
0.069,0.9822422430862889,0.001094908894959654,-3.177424128796543e-05,-1.0013612718992702e-10,-3.157999273273831e-05,0.9822422430862889,0.0
0.07,-0.8669221581244113,0.00022798673683524262,-3.1546254551269494e-05,-1.0810601690750787e-10,-3.4957690214074335e-05,0.0,0.8669221581244113
0.07100000000000001,0.8394174273586719,0.0010674041641939144,-3.0478850387955087e-05,-1.5143710869630914e-10,-4.059483113729967e-05,0.8394174273586719,0.0
0.07200000000000001,0.40785012686827415,0.0014752542910621887,-2.900359609868478e-05,-2.2414858773864958e-10,-4.928742082792178e-05,0.40785012686827415,0.0
0.073,-0.7170751720117452,0.0007581791190504434,-2.8245416981009412e-05,-2.698115671593791e-10,-6.022716571978961e-05,0.0,0.7170751720117452
0.074,-0.8475145384189497,-8.933541936850631e-05,-2.833475240025999e-05,-2.6522130057498027e-10,-5.138238135407336e-05,0.0,0.8475145384189497
0.075,-0.24137167264030124,-0.00033070709200880755,-2.8665459491473395e-05,-2.422846652955107e-10,-6.935634539475608e-05,0.0,0.24137167264030124
0.076,0.9370831063860101,0.0006063760143772026,-2.8059083478778137e-05,-2.8744861438159353e-10,-7.448175398927665e-05,0.9370831063860101,0.0
0.077,-0.8798326251716417,-0.00027345661079443916,-2.833254008857454e-05,-2.640854008003355e-10,-8.54366385285286e-05,0.0,0.8798326251716417
0.078,-0.29678864001133776,-0.0005702452508057769,-2.8902785337673147e-05,-2.199604433070091e-10,-7.737891280113118e-05,0.0,0.29678864001133776
0.079,0.7349959427956303,0.00016475069198985338,-2.8738034646339517e-05,-2.346651011871512e-10,-8.925399779547676e-05,0.7349959427956303,0.0
0.08,-0.38106474688372893,-0.00021631405489387555,-2.895434870033845e-05,-2.149882968748359e-10,-9.096405848017877e-05,0.0,0.38106474688372893
0.081,0.43239105384286414,0.00021607699894898857,-2.8738271702664736e-05,-2.384641187962664e-10,-0.00010864563133421227,0.43239105384286414,0.0
0.082,-0.7727725976195574,-0.0005566955986705688,-2.929496729674395e-05,-1.669660515269472e-10,-0.00012843296702295194,0.0,0.7727725976195574
0.083,-0.0787344427225718,-0.0006354300413931406,-2.9930397332316466e-05,-8.09590818239428e-11,-0.00013535238242285696,0.0,0.0787344427225718
0.084,-0.1075068145164062,-0.0007429368559095468,-3.067333418164316e-05,1.7941294596894527e-11,-0.00013312083782929647,0.0,0.1075068145164062
0.085,-0.7971433190166282,-0.001540080174926175,-3.221341433928857e-05,2.486522397828618e-10,-0.0001498045035609519,0.0,0.7971433190166282
0.08600000000000001,0.8929938303787264,-0.0006470863445474487,-3.286050067640386e-05,3.467261802297143e-10,-0.00015156237131061832,0.8929938303787264,0.0
0.08700000000000001,0.3867903702631663,-0.00026029597428428233,-3.3120796648042565e-05,3.8383772337536314e-10,-0.0001425744035166983,0.3867903702631663,0.0
0.088,-0.8724484630870184,-0.0011327444373713008,-3.425354107145602e-05,5.616616458100852e-10,-0.00015698503325055335,0.0,0.8724484630870184
0.089,0.18543439056197775,-0.000947310046809323,-3.520085110411106e-05,7.25420553618341e-10,-0.0001728672773770566,0.18543439056197775,0.0
0.09,-0.14367549627299336,-0.0010909855430823164,-3.629183663032294e-05,9.172819741127543e-10,-0.00017586064517528224,0.0,0.14367549627299336
0.091,-0.07175009646802444,-0.0011627356395503409,-3.745457225553402e-05,1.0998895511865756e-09,-0.00015704995324225215,0.0,0.07175009646802444
